Year,Y/M,areaCode,areaName,NHS_B,SC_B,Both_B,dtoc_total
2017,2017_MAY,E08000023,South Tyneside,62.0,85.0,4.0,151.0
2017,2017_MAY,E08000024,Sunderland,111.0,33.0,0.0,144.0
2017,2017_MAY,E08000025,Birmingham,2069.0,2654.0,345.0,5068.0
2017,2017_MAY,E08000026,Coventry,1408.0,216.0,287.0,1911.0
2017,2017_MAY,E08000027,Dudley,241.0,491.0,58.0,790.0
2017,2017_MAY,E08000028,Sandwell,226.0,235.0,54.0,515.0
2017,2017_MAY,E08000029,Solihull,516.0,439.0,44.0,999.0
2017,2017_MAY,E08000030,Walsall,186.0,371.0,42.0,599.0
2017,2017_MAY,E08000031,Wolverhampton,354.0,391.0,22.0,767.0
2017,2017_MAY,E08000032,Bradford,173.0,91.0,0.0,264.0
2017,2017_MAY,E08000033,Calderdale,79.0,204.0,75.0,358.0
2017,2017_MAY,E08000034,Kirklees,567.0,173.0,121.0,861.0
2017,2017_MAY,E08000035,Leeds,1734.0,890.0,62.0,2686.0
2017,2017_MAY,E08000036,Wakefield,748.0,49.0,0.0,797.0
2017,2017_MAY,E08000037,Gateshead,282.0,209.0,0.0,491.0
2017,2017_MAY,E09000001,City of London,31.0,0.0,0.0,31.0
2017,2017_MAY,E09000002,Barking and Dagenham,85.0,45.0,33.0,163.0
2017,2017_MAY,E09000003,Barnet,503.0,555.0,72.0,1130.0
2017,2017_MAY,E09000004,Bexley,129.0,256.0,0.0,385.0
2017,2017_MAY,E09000005,Brent,318.0,245.0,0.0,563.0
2017,2017_MAY,E09000006,Bromley,166.0,410.0,0.0,576.0
2017,2017_MAY,E09000007,Camden,236.0,361.0,0.0,597.0
2017,2017_MAY,E09000008,Croydon,544.0,310.0,0.0,854.0
2017,2017_MAY,E09000009,Ealing,480.0,689.0,55.0,1224.0
2017,2017_MAY,E09000010,Enfield,288.0,122.0,37.0,447.0
2017,2017_MAY,E09000011,Greenwich,184.0,89.0,2.0,275.0
2017,2017_MAY,E09000012,Hackney,288.0,671.0,0.0,959.0
2017,2017_MAY,E09000013,Hammersmith and Fulham,289.0,296.0,31.0,616.0
